Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-SMD_BS-CR2032-8,1,Battery_Cell,C7498149
C1,C_0603,1,1uF,C15849
"C10, C17, C3, C7",C_0603,4,100nF,C14663
"C11, C12, C13, C15, C16, C4, C8, C9",C_0402,8,100nF,C1525
C14,C_0603,1,10uF,C19702
C2,C_0805,1,10uF,C15850
"C5, C6",C_1206,2,4.7uF,C29823
D1,D_SOD-323,1,B5817WS,C7420329
"F1, F2",0805,2,1.1A,
J1,USB-C-TH_SHOUHAN_TYPE-C-14PLC-H10.0,1,USB_C_Receptacle_USB2.0_14P,C3151746
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J4,JST_SH_SM07B-SRSS-TB_1x07-1MP_P1.00mm_Horizontal,1,Conn_01x07_Pin,
Q1,SOT-363_SC-70-6,1,UMH3N,
"Q2, Q3",SOT-323_SC-70,2,BSS138W,C28646265
"R1, R2",R_0603,2,10kΩ,C25804
"R3, R4",R_0603,2,5.1kΩ,C23186
"R5, R6, R7, R8",R_0603,4,4.7kΩ,C23162
"S1, S2",SW_SPST_PTS810,2,"Tactile Button, 160gf",C720477
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340X,
U4,SOT-223,1,AP2114HA-3.3TRG1,C460314
U5,AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm,1,ENS210,
U6,LGA-12_2x2mm_P0.5mm,1,LIS2DW12TR,C189624
U7,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,1,SCD40-D-R2,
U8,OSC-SMD_10P-L3.2-W2.5-BL_RX8130CE,1,YSN8900AP3,C54780223
U9,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
