Designator,Mid X,Mid Y,Rotation,Layer
BT1,123.45,-87.65,0.0,top
C1,146.4,-89.15,180.0,top
C10,123.2,-105.95,270.0,top
C11,101.3,-87.8,180.0,top
C12,118.5,-101.33,270.0,top
C13,118.0,-102.73,180.0,top
C14,117.4,-100.83,270.0,top
C15,105.8,-80.83,90.0,top
C16,107.92,-78.73,0.0,top
C17,135.6,-106.0,270.0,top
C2,151.0,-87.35,180.0,top
C3,151.2,-89.15,180.0,top
C4,94.65,-87.8,180.0,top
C5,103.15,-98.795,0.0,top
C6,103.15,-108.295,0.0,top
C7,92.8,-83.32,270.0,top
C8,99.996567,-82.4,180.0,top
C9,103.15,-87.8,180.0,top
D1,102.85,-85.9,0.0,top
F1,86.6,-102.6625,90.0,top
F2,98.95,-102.55,90.0,top
J1,92.9,-103.7,0.0,top
J2,150.95,-79.727451,180.0,bottom
J3,87.525,-93.382451,0.0,bottom
J4,137.95,-96.45,180.0,bottom
Q1,96.75,-90.1325,90.0,top
Q2,145.3275,-78.8,0.0,top
Q3,145.35,-81.8525,0.0,top
R1,148.5,-88.35,270.0,top
R2,143.1,-88.48,270.0,top
R3,91.45,-107.5,180.0,top
R4,94.17,-107.5,0.0,top
R5,142.7775,-78.7275,270.0,top
R6,142.8,-81.78,270.0,top
R7,147.8775,-78.7275,270.0,top
R8,147.9,-81.78,270.0,top
S1,89.0,-83.225,0.0,top
S2,88.95,-79.25,180.0,top
U1,145.9,-99.75,270.0,top
U2,92.900001,-98.5375,270.0,top
U3,93.65,-91.5125,0.0,top
U4,104.395,-103.55,180.0,top
U5,99.996567,-80.6,180.0,top
U6,120.25,-101.5925,180.0,top
U7,129.4,-104.1,90.0,top
U8,101.95,-90.0,180.0,top
U9,107.92,-80.55,0.0,top
