Designator,Mid X,Mid Y,Rotation,Layer
C1,215.35,-90.35,90.0,top
C2,103.921134,-86.0,270.0,top
C3,136.836134,-86.0,270.0,top
C4,169.751134,-86.0,270.0,top
C5,202.681134,-85.99,270.0,top
C6,94.15,-91.0,90.0,top
D1,97.085,-93.0,0.0,top
D2,130.0,-93.0,0.0,top
D3,162.915,-93.0,0.0,top
D4,195.845,-92.99,0.0,top
J1,218.2,-87.725,0.0,top
J2,91.3,-87.725,0.0,top
J3,191.775,-93.95,270.0,bottom
J4,117.6,-93.95,90.0,bottom
J5,154.675,-74.13,0.0,bottom
LED1,105.33,-87.8,0.0,top
LED2,138.245,-87.8,0.0,top
LED3,171.16,-87.8,0.0,top
LED4,204.09,-87.79,0.0,top
R10,98.285,-90.63,270.0,top
R11,95.735,-90.63,270.0,top
R13,161.565,-90.63,270.0,top
R14,162.830466,-90.63,270.0,top
R15,164.115,-90.63,270.0,top
R18,194.495,-90.62,270.0,top
R19,195.760466,-90.62,270.0,top
R20,197.045,-90.62,270.0,top
R3,128.65,-90.63,270.0,top
R4,129.915466,-90.63,270.0,top
R5,131.2,-90.63,270.0,top
R9,97.000466,-90.63,270.0,top
U1,109.9441,-87.8,0.0,top
U2,142.8591,-87.8,0.0,top
U3,175.7741,-87.8,0.0,top
U4,208.7041,-87.79,0.0,top
